Codigo,Categoria,Bairro,Cidade,ValorVenda,ValorLocacao,AreaTotal,AreaPrivativa,Dormitorios,Suites,Vagas,BanheiroSocial,Endereco,Numero,Complemento,CEP,UF,DataCadastro,DataAtualizacao,Status,Situacao,DescricaoWeb,TituloSite,BairroComercial,CodigoImobiliaria
5404,Casa,Menino Deus,Porto Alegre,2100000,0,512,307,3,1,2,Sim,Rua Miguel Couto,888,,90850-050,RS,2024-04-09,2025-01-07,Venda,Usado,"Casa semi mobiliada de 307,40 m², 3 dormitórios, sendo 1 suíte com closet no bairro Menino Deus.

Imóvel possui, amplo living, sala de jantar, lavabo, cozinha americana, pátio com piscina, pergolado. 

2 vagas de garagem 

O imóvel conta com uma ampla área separada, um terceiro andar, atualmente usado como um escritório, equipado com cozinha, banheiro, terraço .

Localizado em ponto alto, com vista para o Guaíba.","Casa com 3 Quartos à venda, 307m² - Menino Deus",Menino Deus,32622
5405,Empreendimento,Auxiliadora,Porto Alegre,0,0,0,0,0,0,0,Nao,Vinte e Quatro de Outubro,1290,,90510001,RS,2024-04-09,2025-11-21,Venda,,,,Auxiliadora,32622
5420,Apartamento,Bela Vista,Porto Alegre,3590000,0,324.48,223.07,3,3,3,Nao,Coronel Bordini,1800,302,90440-002,RS,2024-04-12,2025-11-29,Venda,Usado,"Apartamento amplo, com muito luxo, sofisticação e conforto! São 3 suítes, com opção para 4, living com sacada integrada, lareira e espaço churrasco com vista maravilhosa. Alguns diferenciais do imóvel: marcenaria da cozinha e living em laca, persianas automatizadas, vidros duplos em todas as janelas, todos os eletrodomésticos franceses, banheiros com revestimento em mármore. Possui 3 vagas de garagem e depósito imenso.
O prédio conta com a mais completa infraestrutura de lazer do bairro Bela Vista: piscina térmica com raia, quadra de tênis, piscinas adulto e infantil, espaço pub para 140 pessoas, fitness, cinema, playground, brinquedoteca, salão de festas, sala de jogos e muito mais. 
Entre em contato para visitar e se surpreender!",Apartamento mobiliado com 3 suítes no Bela Vista,Bela Vista,32622
5426,Apartamento,Rio Branco,Porto Alegre,689990,0,49.08,28.42,1,0,0,Sim,Casemiro de Abreu,576,1210,90420000,RS,2024-04-15,2025-09-30,Venda,Construção,"Apartamento Mobiliado, vista panorâmica, andar alto, numa das regiões de Porto Alegre

Desfrute do melhor da vida contemporânea e invista em um estilo de vida moderno, que une praticidade, rentabilidade e uma localização única no Skyline Parque Moinhos.

Apartamento com 25m2 e com uma ótima oportunidade de investimento ou para moradia.

Localizado a apenas 50 metros do Zaffari e ao lado do Parcão, este empreendimento oferece um endereço incomparável para quem busca viver conectado com o melhor da cidade. Seja a pé ou de carro, você terá um universo de possibilidades à sua disposição.

Não deixe passar essa oportunidade! Agende sua visita hoje mesmo e descubra todas as vantagens de fazer parte do Skyline Parque Moinhos.","Apartamento MOBILIADO, localização espetacular!!",Rio Branco,32622
5432,Casa em Condomínio,Alphaville,Porto Alegre,2190000.01,0,600,300,3,3,4,Sim,das Três Meninas,2000,82,91787-400,RS,2024-04-15,2025-02-04,Venda,Novo,"Casa nova com excelente padrão construtivo. Ótima iluminação e conceito aberto. Possui um amplo living , churrasqueira, lavabo, cozinha , dependência de empregada , lavanderia. Este imóvel possui 3 suítes, sendo 2 com sacada e uma suíte master. Banheiro da suíte master com hidromassagem e vista para área verde. Espaço Gourmet, pátio amplo.

O condomínio oferece infra estrutura completa: Quadra de esportes, piscina, salão de festa, sauna , playground, campo de golfe.

Monitoramento  24 horas,  ronda, câmeras em todas as ruas, guarita.

Agende sua visita agora mesmo!",CASA  COM 3 SUITES  NO ALPHAVILLE,Alphaville,32622
5441,Terreno em condomínio,Vila Nova,Porto Alegre,390000.01,0,587,0,0,0,0,Nao,das Três Meninas,2000,,91787-400,RS,2024-04-17,2024-07-29,Venda,,"Terreno de 588m², limpo e cercado no Condomínio Alphaville Veneto de 588m2. Possui planta com o projeto aprovado pela prefeitura. 

Localizado em área alta com uma vista espetacular.

O condomínio possui infra completa com campo de golfe, monitoramento por câmeras  e ronda noturna.


Agende sua visita!",TERRENO ALPHAVILLE VENETO COM PROJETO APROVADO,Vila Nova,32622
5465,Apartamento,Jardim Europa,Porto Alegre,5935000,0,417.02,260.1,4,4,2,Sim,Veríssimo de Amaral,536,302,91360-470,RS,2024-04-18,2025-11-11,Venda,Construção,"Apresentamos o apartamento mais aguardado do Jardim Europa: o Tree Haus, um empreendimento exclusivo da Cyrela Goldsztein em parceria com a Porsche Consulting, localizado no bairro mais desejado da cidade.

Este imóvel oferece uma experiência de luxo incomparável, com uma localização privilegiada em frente ao Parque Germânia e ao lado do Shopping Iguatemi. Com 260m² privativos, este apartamento é composto por 4 suítes, um amplo living com lareira, sala de estar e jantar, lavabo, cozinha americana com churrasqueira e área de serviço independente com dependência de empregada completa.

Além disso, o Tree Haus é um verdadeiro clube de lazer, projetado para proporcionar as melhores experiências aos seus moradores. Suas comodidades incluem Port Cochere, piscina interna, externa e infantil, pool house, salão de festas, espaço gourmet, rooftop, quadra de tênis oficial, quadra de beach tênis e muito mais.

Se você busca um estilo de vida luxuoso e sofisticado, não deixe de considerar o Tree Haus como sua próxima residência. 

Agende sua visita hoje mesmo e descubra todos os detalhes deste incrível empreendimento!",APARTAMENTO LUXUOSO NO JARDIM EUROPA!!,Jardim Europa,32622
5469,Casa em Condomínio,avenida central,Capão Da Canoa,3550000,0,1181,354.55,6,5,3,Nao,Central,2000,20,95555-000,RS,2024-04-19,2025-10-07,Venda,Usado,"Casa imponente com 6 dormitórios, sendo 5 suítes, distribuída em 354 m² de área construída. A residência conta com ambientes amplos e integrados, incluindo uma área social com 5 espaços distintos para receber com conforto e elegância. Está pronta para morar, finamente mobiliada e decorada, com ótima orientação solar.

Localizada em condomínio fechado de alto padrão, com infraestrutura completa de lazer, segurança 24h e excelente padrão construtivo. O imóvel está posicionado em dois lotes totalizando 1.200 m², oferecendo amplo pátio, energia fotovoltaica e sistema de irrigação automática.

Situada em Capão da Canoa, com fácil acesso a supermercados, comércio e à entrada da cidade, ideal para quem busca tranquilidade, privacidade e praticidade no litoral.
Agende sua visita!",CASA DE LUXO - CONDOMÍNIO FECHADO CONDADO DE CAPÃO,avenida central,32622
5470,Casa,Chácara das Pedras,Porto Alegre,3750000,0,555,362,4,3,2,Nao,Araruama,720,,91330-560,RS,2024-04-19,2025-11-25,Venda,Usado,"Casa espaçosa com 4 dormitórios, sendo 3 suítes, lavabo e excelente distribuição interna, ideal para famílias que valorizam conforto e funcionalidade. Os ambientes são bem iluminados e oferecem praticidade no dia a dia.

O pátio é um dos grandes destaques, com piscina, jardim, churrasqueira, horta e canil ? um verdadeiro refúgio ao ar livre para aproveitar momentos de lazer e relaxamento. O terreno possui 500 m², com espaço generoso e bem aproveitado.

Localizada em uma rua tranquila e segura, com fácil acesso a serviços, escolas, comércios e principais vias da região, unindo tranquilidade e conveniência.
Agende sua visita!",CASA 4 QUARTOS E 3 BANHEIROS NO CHACARA DAS PEDRAS,Chácara das Pedras,32622
5484,Loft,Auxiliadora,Porto Alegre,479000,0,45.27,24.25,1,0,0,Sim,Vinte e Quatro de Outubro,1585,412,90510-003,RS,2024-04-22,2025-11-25,Venda,Usado,"Studio compacto, moderno e inteligente com 24m² privativos, perfeito para morar ou investir. Conta com esquadrias piso-teto, forro de gesso rebaixado, laje técnica para ar-condicionado, fechadura eletrônica e possibilidade de entrega com mobília completa, pronto para morar ou alugar.

O condomínio oferece uma infraestrutura completa de lazer e conveniência: rooftop com piscina aquecida, spa, gourmets e horta coletiva; lounge coworking, lavanderia, fitness, bicicletário com lockers, espaço zen, além de concierge, lockers refrigerados e vaga verde com carregador para carro elétrico.

Localizado na valorizada Rua 24 de Outubro, no coração do bairro Auxiliadora, próximo ao Parcão, Shopping Moinhos, Grêmio Náutico União, Zaffari Bordini, academias, restaurantes e tudo o que Porto Alegre tem de melhor.

Agende sua visita!",LOFT MOBILIADO NA RUA 24 DE OUTUBRO,Auxiliadora,32622
5971,Apartamento,Passo da Areia,Porto Alegre,1100000,0,148.29,112.59,3,1,3,Sim,Acélio Daudt,30,908,91340-120,RS,2024-05-02,2025-11-15,Venda,Usado,"Apartamento de 3 dormitórios, sendo 1 suíte, com mais de 112 m² privativos, andar alto, ambientes amplos e bem iluminados, além de 3 vagas de garagem. 
O condomínio oferece infraestrutura completa, com piscina com deck molhado, salão de festas, espaço gourmet, quiosque com churrasqueira e forno de pizza, academia, quadra poliesportiva, áreas verdes e portaria 24 horas. 
Localizado no bairro Passo da Areia, próximo ao Shopping Iguatemi, Bourbon Country, Porto Alegre Country Club, escolas de referência e ampla oferta de serviços, garantindo praticidade e excelente qualidade de vida. 
Agende sua visita!","APARTAMENTO 3 DORM, 3 VAGAS, PASSO DA AREIA",Passo da Areia,32622
5987,Cobertura,Jardim Lindóia,Porto Alegre,1170000,0,233.31,189.11,2,1,2,Sim,Guadalupe,450,605,91050-250,RS,2024-05-14,2025-11-27,Venda,Usado,"Cobertura  com 2 dormitórios, sendo 1 suíte, amplo living de 3 ambientes, com vista de frente, 3 banheiros, cozinha, área de serviço. Parte superior contempla 2 terraços churrasqueira, banheiro, varanda, sala de estar. 
Duas vagas de garagem cobertas. 
Condomínio com portaria 24 horas, salão de festas.  
Localizado próximo a Avenidas Sertório e Panamericana, bem como  demais conveniências da região, colégios, Clube Lindoia, Shopping, supermercado Zaffari, Farmácias, Posto de Combustível, Restaurantes, Padaria, entre outros.
Agende sua visita!","Cobertura com 3 quartos, 2 vagas e 189,11m2",Jardim Lindóia,32622
5989,Casa comercial,Rio Branco,Porto Alegre,850000,0,200,162,0,0,0,Nao,Francisco Ferrer,470,,90420-140,RS,2024-05-14,2025-09-29,Venda,,"Casa Comercial no Coração do Bairro Bom Fim em Porto Alegre

Esta é a sua chance de investir em uma casa comercial estrategicamente posicionada no renomado Bairro Bom Fim, um dos locais mais desejados em Porto Alegre. Situada em uma região de alto fluxo, essa propriedade oferece visibilidade incomparável para o seu negócio.

Espaço Versátil
Com amplas áreas e um layout flexível, esta casa comercial oferece possibilidades ilimitadas para diversos tipos de negócios. Seja para uma boutique elegante, um café aconchegante, um escritório dinâmico ou uma clínica renomada, este espaço se adapta facilmente às suas necessidades.

Cenário Cultural e Vibrante
O Bairro Bom Fim é conhecido por sua atmosfera culturalmente rica e vibrante. Atraindo uma mistura diversificada de moradores locais, estudantes e turistas, a região oferece um ambiente propício para o sucesso dos negócios. As ruas arborizadas e o charme único do bairro criam um ambiente convidativo para clientes e colaboradores.

Acesso Fácil e Estacionamento
Além da localização estratégica, a facilidade de acesso é uma vantagem notável. A proximidade a vias principais e transporte público garante que seus clientes cheguem sem dificuldades. Além disso, o espaço conta com opções de estacionamento nas proximidades, garantindo comodidade para todos.

Invista no Futuro
Não perca a oportunidade de adquirir um imóvel comercial em uma das áreas mais cobiçadas de Porto Alegre. O Bairro Bom Fim não apenas oferece retorno financeiro, mas também a chance de se tornar parte de uma comunidade influente e em constante crescimento.

Entre em Contato
Para obter mais informações e agendar uma visita a esta casa comercial excepcional no Bairro Bom Fim, entre em contato conosco. Nossos especialistas estão prontos para responder às suas perguntas e guiá-lo em direção a um investimento inteligente e lucrativo.",Casa Comercial,Rio Branco,32622
5996,Apartamento,Passo da Areia,Porto Alegre,799000,0,116,112,3,1,3,Nao,Acélio Daudt,173,801,91340-120,RS,2024-05-17,2025-09-24,Venda,Novo,"Apartamento novo, com 03 dormitórios, 01 sendo suíte. 01 lavabo e 02 banheiros.
 
Living estendido e iluminado, com lareira, a cozinha pode ser feita americana ou fechada, contém churrasqueira.

Piso porcelanato  novo.  

Salão de festas com área externa e portaria virtual! 

Próximo dos principais pontos de Porto Alegre, a 5 min do Shopping Iguatemi, Bourbon Country e escolas. 

Agende sua visita!",Lindo Apartamento e Novo!,Passo da Areia,32622
6001,Casa,Menino Deus,Porto Alegre,1900000,0,450,380,4,2,4,Sim,Silveiro,863,,90850-000,RS,2024-05-20,2024-06-24,Venda,Usado,"Esta espaçosa propriedade, residencial/comercial de 380m², estrategicamente localizada no prestigiado Bairro Menino Deus, oferece o melhor em conforto e conveniência. Com 2 pavimentos e completamente reformada, esta residência/comércio apresenta uma combinação perfeita de modernidade e charme tradicional.  Piso porcelanato em toda área, living amplo para 3 ambientes, 4 dormitórios (ou gabinete), proporcionando flexibilidade de uso, estar íntimo, criando espaços acolhedores para relaxar, 3 banheiros e 1 lavabo, 3 terraços e 1 ampliada sacada, perfeitos para desfrutar do ar livre e vistas panorâmicas, cozinha espaçosa, salão de festas com churrasqueira, pátio com piscina, terraço com lavanderia, garagem para 4 carros.
Agende sua visita!",Propriedade de luxo no coração do Menino Deus,Menino Deus,32622
6002,Apartamento,Santa Cecília,Porto Alegre,2090000,0,167.92,121.76,3,3,2,Nao,Santa Cecília,2282,1102,90420-040,RS,2024-05-20,2025-11-24,Venda,Novo,"Descubra o luxo neste apartamento de alto padrão no bairro Rio Branco. Com vista panorâmica da cidade e uma sacada encantadora, este imóvel oferece 3 suítes, garantindo privacidade e conforto. O living é acolhedor com lareira, perfeito para momentos de relaxamento. Conta ainda com 2 vagas de garagem e depósito, proporcionando praticidade. Uma oportunidade única para viver com elegância e sofisticação. 

Agende sua visita!",BELÍSSIMO APARTAMENTO 3 SUÍTES - BAIRRO RIO BRANCO,Santa Cecília,32622
6005,Apartamento,Auxiliadora,Porto Alegre,585000,0,107.53,66.27,2,1,1,Nao,Marcelo Gama,881,401,90540-041,RS,2024-05-20,2025-11-07,Venda,Usado,"Ótimo apartamento no bairro auxiliadora, arborizado e  bem localizado,  próximo dos principais mercados e shopping da região.   

Mobiliado, com  02 dormitórios, sendo 01 suíte. Living  amplo e ensolarado, com churrasqueia na sacada e área de serviço. 

Edifício com elevador e jardim. 

Agende sua visita!",Apartamento a venda com  sacada e vista linda,Auxiliadora,32622
6008,Apartamento,Jardim Europa,Porto Alegre,2880000,0,260.29,163.29,3,3,2,Sim,Túlio de Rose,330,802,91340-110,RS,2024-05-22,2025-11-18,Venda,Usado,"Ótimo apartamento totalmente mobiliado com 3 suítes em andar alto e com área útil de 164 m², living estendido e gabinete e com pé direito duplo na sala, num dos condomínios de referencia de alto padrão no Jardim Europa e defronte ao Parque Germânia. Possui 1 vaga dupla de garagem com depósito.
Condomínio com portaria 24 hs e com infraestrutura completa ao lado do Shopping Iguatemi e Bourbon Country.",Apartamento 3D para comprar no Jardim Europa,Jardim Europa,32622
6009,Apartamento,Jardim Europa,Porto Alegre,2795000,0,264.91,167.01,3,3,2,Nao,Túlio de Rose,330,501,91340-110,RS,2024-05-22,2024-10-26,Venda,Usado,"Ótimo apartamento com 3 suítes, sendo 2 com sacadas abertas, com área útil de 167 m²  e living estendido num dos condomínios de referencia de alto padrão no Jardim Europa e defronte ao Parque Germânia.
Sol da manhã e tarde em todas as dependências e 1 vaga dupla de garagem com depósito. 
Condomínio com portaria 24hs e com infraestrutura completa ao lado do Shopping Iguatemi e Bourbon Country.",Apartamento 3 Dormitórios no Jardim Europa,Jardim Europa,32622
6011,Apartamento,Passo da Areia,Porto Alegre,1180000,0,173.55,106,3,1,2,Sim,Jari,359,403,91350-170,RS,2024-05-22,2025-11-19,Venda,Usado,"Este apartamento de 106m² oferece conforto e praticidade, com 3 dormitórios (sendo 1 suíte), amplo living para 3 ambientes, churrasqueira, lavabo, gabinete, cozinha americana e área de serviço. Conta ainda com 2 vagas de garagem para maior comodidade.

O condomínio possui infraestrutura completa de lazer e segurança, incluindo portaria 24 horas, proporcionando tranquilidade e conveniência para toda a família.

A localização é estratégica, com fácil acesso a serviços, comércio e opções de lazer, além de estar próximo a supermercados e principais vias da região.

Agende sua visita!","APARTAMENTO 3 DORM, 2 VAGA, PASSO DA AREIA",Passo da Areia,32622
6013,Casa em Condomínio,Belém Novo,Porto Alegre,4200000,0,1350,385.76,4,4,4,Sim,Juca Batista,8000,10,91781-600,RS,2024-05-23,2025-11-18,Venda,Usado,"Casa no TERRAVILLE construída no maior terreno do condomínio, com 1350 metros quadrados, junto à entrada da Portaria 8000.
Casa totalmente projetada pelo escritório de arquitetura AZ ARQUITETURA e construída pela Kaiser Engenharia, ambos referências na zona sul e no Terraville, com paredes duplas garantindo isolamento termo acústico.
Conceito contemporâneo, mas com elementos clássicos, com uso de pedras e integração total da área interna e externa. 
Quatro suítes gigantes; mais um quarto para visitas com banheiro; sala de música com proteção acústica; cozinha integrada ao paisagismo; sala de estar; sala de jantar; espaço gourmet; 2 depósitos ( interno e na garagem); espaço jacuzzi e área aberta jogos.
Casa quase totalmente cercada por lago, com irrigação automatizada 
Ficará praticamente mobiliada, com todos móveis planejados  de conceituada empresa da Serra;
Calefação e iluminação em todas peças garantido com sistema de placas solares.
Condomínio com uma infraestrutura completa: Heliponto, salão de festas, quadras, fitness, estacionamento para visitantes, monitoramento e portaria 24 horas.
Agende sua visita!",Casa para comprar no Condomínio TERRAVILLE,Belém Novo,32622
6014,Terreno em condomínio,Vila Nova,Porto Alegre,440000,0,566.24,0,0,0,0,Nao,das Três Meninas,2001,,91787-400,RS,2024-05-23,2025-01-07,Venda,,"Excelente terreno contendo 566m², são 16,7 metros de frente por 35 metros de profundidade em aclive cercado por belas casas já construídas.
Ótima vizinhança!!! 
O condomínio clube possui sala de estar, salão de festas, espaço gourmet, brinquedoteca, playground, fitness, piscinas, quadra de tênis, quadra poliesportiva, campo de futebol e quadra de vôlei de praia.
Agende sua visita!",Terreno em Alphaville Lombardia,Vila Nova,32622
6023,Apartamento,Passo da Areia,Porto Alegre,1199000,0,158.06,106.83,3,1,2,Sim,Jari,671,414,91350-170,RS,2024-05-27,2025-11-19,Venda,Usado,"Apartamento semi-mobiliado com 106m² de área útil, 3 dormitórios (1 suíte), escritório, living para dois ambientes, bar com churrasqueira, lareira, cozinha completa.2 vagas de garagem

Condomínio com infraestrutura completa.

Localizado próximo ao Shopping Iguatemi e Parque Germânia .

Agende sua visita com um dos nossos corretores.",Apartamento 3 dormitórios (1 suíte) Passo da Areia,Passo da Areia,32622
6029,Casa,Chácara das Pedras,Porto Alegre,2300000,0,453.62,453.62,3,3,4,Sim,Doutor Barbosa Gonçalves,46,,91330-320,RS,2024-05-28,2025-11-26,Venda,Usado,"Casa  Semimobiliada no Bairro Chácara das Pedras.  Possui living para 3 ambientes, lavabo e lareira. Cozinha planejada, despensa, área de serviço e dependência completa.
Suíte Master com dois closets. Piso aquecido nos banheiros das 3 suítes. Escritório (home office). 
Piscina com aquecimento solar, Terraço com espaço gourmet, churrasqueira e parrilha.
Subsolo garagem com vaga para 4 carros, 1 dormitório, banheiro completo, outra área de serviço, espaço para uma adega e espera para elevador.
Toda a propriedade é monitorada por câmeras de segurança.
Excelente Localização, agende já a sua visita!","Casa semimobiliada com 453 m², 3 suítes e 4 vagas",Chácara das Pedras,32622
6034,Casa,Chácara das Pedras,Porto Alegre,870000,0,362.96,130,3,1,2,Sim,Estácio de Sá,710,,91330-430,RS,2024-05-30,2025-11-26,Venda,Usado,"Reserva vende casa no bairro Chácara das Pedras em Porto Alegre, Com  três dormitórios, sendo uma suíte, living, sala de jantar, banheiro social, cozinha, lavanderia e garagem. Amplo pátio com piscina. Frente leste. 
Localização privilegiada. 
Próxima  ao Shopping Iguatemi, Bourbon Country,  Viva Open Mall e Parque Germânia.
Agende sua visita!",Casa com 3 dormitórios Bairro Chácara das Pedras,Chácara das Pedras,32622
6066,Cobertura,Bela Vista,Porto Alegre,1300000,0,310,207,2,0,2,Sim,Nilopolis,110,401,90460-050,RS,2024-06-06,2025-11-26,Venda,Usado,"Cobertura reformada e ensolarada no bairro Bela Vista, com 2 dormitórios, lavabo. 2 vagas, lado a lado cobertas e um amplo terraço com churrasqueira, deck e piscina. 
O condomínio conta com elevador, hall de entrada e jardim. 
Localização excelente, próxima à Praça da Encol e a todas as conveniências do bairro. 
Agende sua visita!","COBERTURA 2 DORM E 2 VAGAS, BAIRRO BELA VISTA",Bela Vista,32622
6084,Casa,Chácara das Pedras,Porto Alegre,1790000,0,427.84,316,4,1,4,Sim,Moema,547,,91330-500,RS,2024-06-09,2025-11-24,Venda,Usado,"Apresentamos uma excelente casa no prestigiado bairro Chácara das Pedras. Este imóvel oferece conforto e sofisticação  No primeiro pavimento você será recebido por uma ampla sala de estar com lareira, e ampla sacada. Perfeita para momentos de descontração, além de um living integrado em dois ambientes e um lavabo para maior conveniência. A sala de jantar espaçosa se conecta ao espaço gourmet interno, equipado com churrasqueira, ideal para receber amigos e familiares. A cozinha é ampla e moderna, complementada por dependência de empregada e lavanderia separada.

No segundo pavimento, a casa oferece um banheiro social, uma ampla suíte principal e três dormitórios adicionais, sendo dois com a possibilidade de se transformarem em suítes adicionais. 
O imóvel ainda conta com garagem para até quatro veículos, cobertos e descobertos  e gerador próprio.  

O pátio é um convite ao lazer, com uma piscina refrescante e um quiosque equipado com churrasqueira. Forno para pizza.
O Imóvel conta com uma infraestrutura  e acabamentos de padrão elevado.
Também tem estrutura preparada para a construção de um terceiro pavimento e espera para a instalação de elevador. 

Agende sua visita!",Casa de Alto Padrão no Bairro Chácara das Pedras,Chácara das Pedras,32622
6098,Casa,Chácara das Pedras,Porto Alegre,2990000,0,385.05,381.1,4,1,4,Sim,Doutor Barbosa Gonçalves,610,,91330-320,RS,2024-06-10,2025-11-24,Venda,Usado,"Espetacular residência de luxo, a apenas 150 metros do Shopping Iguatemi. Com 381,10 m² de área privativa. Finamente decorada e mobiliada, pronta para morar e proporciona um estilo de vida sofisticado.  

No térreo, você encontrará um elegante hall de entrada que leva a um estar social, uma sala de jantar e uma área íntima com lareira. O ambiente de churrasqueira e o salão de festas são ideais para receber amigos e familiares. A ampla copa-cozinha oferece espaço e funcionalidade, enquanto a lavanderia, quarto e banheiro de empregada garantem total praticidade.
No segundo piso, a residência conta com quatro amplos dormitórios, incluindo uma suíte máster com closet e um banheiro luxuoso com cuba dupla, box e banheira. Os outros dormitórios são servidos por um banheiro igualmente sofisticado e uma sacada completa o charme deste andar.
O terceiro piso é versátil, com um gabinete ideal para escritório e um amplo depósito.
A garagem acomoda até quatro carros e os pátios, com jardins bem cuidados, oferecem espaço para instalação de piscina.
Venha conhecer e se encantar com cada detalhe desta magnífica propriedade que combina conforto, luxo e uma localização privilegiada.","Residência de Luxo Finamente Decorada, 4 dorm.",Chácara das Pedras,32622
6110,Casa em Condomínio,Vila Nova,Porto Alegre,1790000,0,703,290,4,4,4,Sim,das Três Meninas,2001,310,91787-400,RS,2024-06-13,2025-02-04,Venda,Novo,"Descubra uma residência exclusiva na parte alta do Alphaville, onde a arquitetura arrojada e o foco na luminosidade tornam esta casa um destaque no condomínio. Com 290 m² bem distribuídos, a propriedade oferece 4 suítes, todas com opção de closet e uma vista espetacular para o pôr do sol.

O térreo abriga um amplo living integrado com a cozinha, criando um ambiente para até 4 ambientes, perfeito para convivência e entretenimento. Além disso, a casa dispõe de lareira, churrasqueira e uma área de serviço separada. Um espaço dedicado para home office com banheiro também está disponível, ideal para o trabalho remoto. A garagem comporta 4 vagas, sendo duas cobertas.

Portas amplas com esquadrias do chão ao teto garantem abundância de luz natural e uma integração harmoniosa entre o interior e o pátio externo, que se abre para uma área de preservação ambiental. A paisagem é enriquecida por uma imponente figueira, proporcionando sombra e um ambiente tranquilo. Todas as portas e janelas são equipadas com telas de proteção para sua segurança e conforto.

Viver bem com segurança, praticidade e uma proximidade direta com a natureza é possível nesta residência única. 

Venha conhecê-la!",CASA DE 4 SUÍTES  CONDOMÍNIO ALPHAVILLE,Vila Nova,32622
6111,Terreno em condomínio,Vila Nova,Porto Alegre,450000,0,480,0,0,0,0,Nao,das Três Meninas,2001,,91787-400,RS,2024-06-13,2025-09-24,Venda,,"Terreno de 480m², limpo e cercado no Condomínio Alphaville com projeto aprovado de construção de casa.

Pavimento térreo com pé direito duplo, amplo living integrado com cozinha, área gourmet e lavanderia. Conta ainda com escritório e uma suíte.

Pavimento superior com 3 suítes, sendo uma master. Todas com closet e piso dos banheiros aquecidos. Persianas automáticas e sacadas. 

Na parte externa piscina, cisterna para aproveitamento da chuva e espera para energia fotovoltaica. 

Condomínio com  sala de estar, salão de festas, espaço gourmet, brinquedoteca, playground, fitness, piscinas, quadra de tênis, quadra poliesportiva, campo de futebol e quadra de vôlei de praia.",TERRENO COM PROJETO DE CASA CONDOMÍNIO ALPHAVILLE,Vila Nova,32622
6132,Cobertura,Cristo Redentor,Porto Alegre,1170000,0,347.42,281.25,3,1,2,Sim,Domingos Rubbo,480,701,91040-000,RS,2024-06-18,2025-11-27,Venda,Usado,"Magnífica cobertura de 281 m² à venda  no bairro Cristo Redentor, em Porto Alegre. Esta propriedade impressiona com um terraço deslumbrante, ideal para aproveitar os dias de verão. Na parte inferior  três dormitórios, incluindo uma suíte máster,  banheiros social dependência de empregada,  a cobertura proporciona conforto e praticidade. Ainda na parte inferior, possui um hall de entrada acolhedor, living para dois ambientes com lareira, sacadão em L com churrasqueira, cozinha funcional com área de serviço. 
Já na parte superior, encontra-se um salão espaçoso com a segunda lareira e churrasqueira, lavabo e um terraço,  sul, leste e norte. com vista privilegiada. Conta ainda com duas vagas de garagem, sendo uma coberta. O condomínio oferece salão de festas, sistema de alarme e jardinagem bem cuidada, além de estar em uma localização privilegiada, próxima ao Bourbon Wallig, Hipermercado Zaffari, Hospital Cristo Redentor, escolas, faculdades, igrejas e diversas conveniências. Não perca a oportunidade de morar em um bairro  desejado de Porto Alegre!","Magnífica Cobertura  com 281m², no Cristo Redentor",Cristo Redentor,32622
6142,Casa,Chácara das Pedras,Porto Alegre,1950000,0,342,290,3,2,3,Nao,Comendador Creidy,341,,91330-310,RS,2024-06-20,2025-11-18,Venda,Usado,"Belíssima casa de rua no bairro Chácara das Pedras, com living para 3 ambientes e lareira, integrado à sala de jantar e cozinha mobiliada. No pavimento superior, dispõe de 3 quartos, sendo 2 suítes com closet. Área de serviço separada, depósito e banheiro complementam a funcionalidade da casa.

O pátio é amplo, com piso frio, oferecendo edícula com salão de festas, churrasqueira e banheiro, ideal para momentos de lazer e convivência.

Localizada em região tranquila e valorizada do bairro, com fácil acesso a comércio, escolas e serviços, proporcionando praticidade e qualidade de vida.

Agende sua visita!","Casa 3 dorm, 290m², Bairro Chácara das Pedras",Chácara das Pedras,32622
6149,Apartamento,Moinhos de Vento,Porto Alegre,2200000,0,213,173,3,1,2,Sim,Padre Chagas,370,201,90570-080,RS,2024-06-24,2025-08-04,Venda,Usado,"Apartamento de 173 m², semimobiliado, 3 dormitórios sendo 1 suíte e 1 vaga no bairro Moinhos de Vento.

Imóvel possui banheiro social, living para três ambientes, lavabo, copa cozinha, ampla área de serviço separada, dependência completa e entrada de serviço.

Condomínio com portaria 24 horas, zelador, salão de festas.

Excelente localização, ao lado do Parcão e Moinhos Shopping próximo de ótimos restaurantes e demais comodidades do bairro.",Ap com 173m² e 3 dorm e 1 vaga no Moinhos de Vento,Moinhos de Vento,32622
6214,Empreendimento,Petrópolis,Porto Alegre,0,0,0,0,0,0,0,Nao,Iguassu,658,,90470-430,RS,2024-07-12,2025-11-14,Venda,,,,Petrópolis,32622
